"Name","DisplayName","Status","StartType","Time"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Stopped","Manual","04-22-2024 14:09:32"
"MixedRealityOpenXRSvc","Windows Mixed Reality OpenXR Service","Stopped","Manual","04-22-2024 14:09:32"
"mpssvc","Windows Defender Firewall","Running","Automatic","04-22-2024 14:09:32"
"MSDTC","Distributed Transaction Coordinator","Stopped","Manual","04-22-2024 14:09:32"
"MSiSCSI","Microsoft iSCSI Initiator Service","Stopped","Manual","04-22-2024 14:09:32"
"msiserver","Windows Installer","Stopped","Manual","04-22-2024 14:09:32"
"NaturalAuthentication","Natural Authentication","Stopped","Manual","04-22-2024 14:09:32"
"NcaSvc","Network Connectivity Assistant","Stopped","Manual","04-22-2024 14:09:32"
"NcbService","Network Connection Broker","Running","Manual","04-22-2024 14:09:32"
"NcdAutoSetup","Network Connected Devices Auto-Setup","Stopped","Manual","04-22-2024 14:09:32"
"Netlogon","Netlogon","Stopped","Manual","04-22-2024 14:09:32"
"Netman","Network Connections","Stopped","Manual","04-22-2024 14:09:32"
"netprofm","Network List Service","Running","Manual","04-22-2024 14:09:32"
"NetSetupSvc","Network Setup Service","Stopped","Manual","04-22-2024 14:09:32"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped","Disabled","04-22-2024 14:09:32"
"NgcCtnrSvc","Microsoft Passport Container","Running","Manual","04-22-2024 14:09:32"
"NgcSvc","Microsoft Passport","Running","Manual","04-22-2024 14:09:32"
"NlaSvc","Network Location Awareness","Running","Automatic","04-22-2024 14:09:32"
"nsi","Network Store Interface Service","Running","Automatic","04-22-2024 14:09:32"
"nvagent","Network Virtualization Service","Running","Manual","04-22-2024 14:09:32"
"OneSyncSvc_94919","Sync Host_94919","Running","Automatic","04-22-2024 14:09:32"
"p2pimsvc","Peer Networking Identity Manager","Stopped","Manual","04-22-2024 14:09:32"
"p2psvc","Peer Networking Grouping","Stopped","Manual","04-22-2024 14:09:32"
"PcaSvc","Program Compatibility Assistant Service","Running","Manual","04-22-2024 14:09:32"
