"Name","DisplayName","Status","StartType"
"SensorDataService","Sensor Data Service","Stopped","Manual"
"SensorService","Sensor Service","Stopped","Manual"
"SensrSvc","Sensor Monitoring Service","Stopped","Manual"
"SessionEnv","Remote Desktop Configuration","Stopped","Manual"
"SgrmBroker","System Guard Runtime Monitor Broker","Running","Automatic"
"SharedAccess","Internet Connection Sharing (ICS)","Running","Manual"
"SharedRealitySvc","Spatial Data Service","Stopped","Manual"
"ShellHWDetection","Shell Hardware Detection","Running","Automatic"
"shpamsvc","Shared PC Account Manager","Stopped","Disabled"
"smphost","Microsoft Storage Spaces SMP","Stopped","Manual"
"SmsRouter","Microsoft Windows SMS Router Service.","Stopped","Manual"
"SNMPTRAP","SNMP Trap","Stopped","Manual"
"spectrum","Windows Perception Service","Stopped","Manual"
"Spooler","Print Spooler","Running","Automatic"
"sppsvc","Software Protection","Stopped","Automatic"
"SSDPSRV","SSDP Discovery","Running","Manual"
"ssh-agent","OpenSSH Authentication Agent","Running","Automatic"
"sshd","OpenSSH SSH Server","Running","Automatic"
"SstpSvc","Secure Socket Tunneling Protocol Service","Running","Manual"
"StateRepository","State Repository Service","Running","Manual"
"stisvc","Windows Image Acquisition (WIA)","Stopped","Manual"
"StorSvc","Storage Service","Running","Automatic"
"svsvc","Spot Verifier","Stopped","Manual"
"swprv","Microsoft Software Shadow Copy Provider","Stopped","Manual"
"SynTPEnhService","SynTPEnhService","Running","Automatic"
"SysMain","SysMain","Running","Automatic"
"SystemEventsBroker","System Events Broker","Running","Automatic"
"TabletInputService","Touch Keyboard and Handwriting Panel Service","Running","Manual"
"TapiSrv","Telephony","Stopped","Manual"
"TermService","Remote Desktop Services","Stopped","Manual"
"Themes","Themes","Running","Automatic"
"TieringEngineService","Storage Tiers Management","Stopped","Manual"
"TimeBrokerSvc","Time Broker","Running","Manual"
"TokenBroker","Web Account Manager","Running","Manual"
"TrkWks","Distributed Link Tracking Client","Running","Automatic"
"TroubleshootingSvc","Recommended Troubleshooting Service","Stopped","Manual"
"TrustedInstaller","Windows Modules Installer","Stopped","Manual"
"tzautoupdate","Auto Time Zone Updater","Stopped","Disabled"
"UdkUserSvc_94919","Udk User Service_94919","Stopped","Manual"
"uhssvc","Microsoft Update Health Service","Stopped","Disabled"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Stopped","Manual"
"UnistoreSvc_94919","User Data Storage_94919","Stopped","Manual"
"upnphost","UPnP Device Host","Stopped","Manual"
"UserDataSvc_94919","User Data Access_94919","Stopped","Manual"
"UserManager","User Manager","Running","Automatic"
"UsoSvc","Update Orchestrator Service","Running","Automatic"
"VacSvc","Volumetric Audio Compositor Service","Stopped","Manual"
"VaultSvc","Credential Manager","Running","Manual"
"VBoxSDS","VirtualBox system service","Stopped","Manual"
"vds","Virtual Disk","Stopped","Manual"
"vmcompute","Hyper-V Host Compute Service","Running","Manual"
"vmicguestinterface","Hyper-V Guest Service Interface","Stopped","Manual"
"vmicheartbeat","Hyper-V Heartbeat Service","Stopped","Manual"
"vmickvpexchange","Hyper-V Data Exchange Service","Stopped","Manual"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service","Stopped","Manual"
"vmicshutdown","Hyper-V Guest Shutdown Service","Stopped","Manual"
"vmictimesync","Hyper-V Time Synchronization Service","Stopped","Manual"
"vmicvmsession","Hyper-V PowerShell Direct Service","Stopped","Manual"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Stopped","Manual"
"VSInstallerElevationService","Visual Studio Installer Elevation Service","Stopped","Manual"
"VSS","Volume Shadow Copy","Stopped","Manual"
"W32Time","Windows Time","Stopped","Manual"
"WaaSMedicSvc","Windows Update Medic Service","Stopped","Manual"
"WalletService","WalletService","Stopped","Manual"
"WarpJITSvc","WarpJITSvc","Stopped","Manual"
"wbengine","Block Level Backup Engine Service","Stopped","Manual"
"WbioSrvc","Windows Biometric Service","Stopped","Manual"
"Wcmsvc","Windows Connection Manager","Running","Automatic"
"wcncsvc","Windows Connect Now - Config Registrar","Stopped","Manual"
"WdiServiceHost","Diagnostic Service Host","Running","Manual"
"WdiSystemHost","Diagnostic System Host","Stopped","Manual"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","Running","Manual"
"WebClient","WebClient","Stopped","Manual"
"Wecsvc","Windows Event Collector","Stopped","Manual"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Stopped","Manual"
"wercplsupport","Problem Reports Control Panel Support","Stopped","Manual"
"WerSvc","Windows Error Reporting Service","Stopped","Manual"
